id,kind,label,organism
M4-FUNG-0136,BGC,BGC0001244,Parastagonospora nodorum
NCBITAXON:13684,ORGANISM,Parastagonospora nodorum,
M4-FUNG-0137,BGC,BGC0001245,Lasiodiplodia theobromae
NCBITAXON:45133,ORGANISM,Lasiodiplodia theobromae,
M4-FUNG-0138,BGC,BGC0001246,Sarocladium zeae (historical primary paper: Acremonium zeae)
NCBITAXON:1036732,ORGANISM,Sarocladium zeae (historical primary paper: Acremonium zeae),
M4-FUNG-0139,BGC,BGC0001247,Cercospora nicotianae
NCBITAXON:29003,ORGANISM,Cercospora nicotianae,
M4-FUNG-0140,BGC,BGC0001248,Hypholoma sublateritium
NCBITAXON:71945,ORGANISM,Hypholoma sublateritium,
M4-FUNG-0141,BGC,BGC0001249,Alternaria alternata
M4-FUNG-0142,BGC,BGC0001250,Epichloë festucae
NCBITAXON:35717,ORGANISM,Epichloë festucae,
M4-FUNG-0143,BGC,BGC0001251,Epichloë festucae
M4-FUNG-0144,BGC,BGC0001252,Alternaria alternata rough-lemon pathotype
M4-FUNG-0145,BGC,BGC0001253,Alternaria alternata tangerine pathotype
ORG_245994777974,ORGANISM,Alternaria alternata tangerine pathotype,
M4-FUNG-0146,BGC,BGC0001254,Alternaria alternata tangerine pathotype
M4-FUNG-0147,BGC,BGC0001255,Fusarium heterosporum
NCBITAXON:42747,ORGANISM,Fusarium heterosporum,
M4-FUNG-0148,BGC,BGC0001256,Tapinella panuoides
NCBITAXON:80604,ORGANISM,Tapinella panuoides,
M4-FUNG-0149,BGC,BGC0001257,Nodulisporium sp. ATCC 74245
NCBITAXON:96454,ORGANISM,Nodulisporium sp. ATCC 74245,
M4-FUNG-0150,BGC,BGC0001258,Glarea lozoyensis
NCBITAXON:101852,ORGANISM,Glarea lozoyensis,
M4-FUNG-0151,BGC,BGC0001259,Elsinoë fawcettii
NCBITAXON:40997,ORGANISM,Elsinoë fawcettii,
M4-FUNG-0152,BGC,BGC0001260,Tolypocladium album; historical paper name Chaunopycnis alba
NCBITAXON:124418,ORGANISM,Tolypocladium album; historical paper name Chaunopycnis alba,
M4-FUNG-0153,BGC,BGC0001261,"Alternaria alternata, apple pathotype"
M4-FUNG-0154,BGC,BGC0001262,"Alternaria alternata, Japanese-pear pathotype"
M4-FUNG-0155,BGC,BGC0001263,Claviceps purpurea
NCBITAXON:5111,ORGANISM,Claviceps purpurea,
M4-FUNG-0156,BGC,BGC0001264,Neocamarosporium betae; historical literature/MIBiG source name Phoma betae
M4-FUNG-0157,BGC,BGC0001265,Bipolaris oryzae
NCBITAXON:101162,ORGANISM,Bipolaris oryzae,
M4-FUNG-0158,BGC,BGC0001266,Cladonia grayi
NCBITAXON:27339,ORGANISM,Cladonia grayi,
